Date,Day,Stock Return,Market Return,Expected Return,Abnormal Return
2022-04-11,-10,-0.034431114576923494,-0.01687729010355421,-0.019506321145710537,-0.014924793431212956
2022-04-12,-9,0.02087060264574858,-0.003417447717741773,-0.0035876496568151813,0.024458252302563762
2022-04-13,-8,0.014135503575253727,0.011174577597236057,0.013670030685089955,0.0004654728901637723
2022-04-14,-7,0.011749847956999071,-0.01214413784439794,-0.013908521872826724,0.025658369829825795
2022-04-18,-6,0.008197668287518445,-0.0002048682840329885,0.00021180023058443143,0.007985868056934013
2022-04-19,-5,-0.008921523300971401,0.016057604355527166,0.019445083364655925,-0.028366606665627327
2022-04-20,-4,0.002278907741270597,-0.0006184750715809706,-0.0002773637869298973,0.0025562715282004943
2022-04-21,-3,-0.0105729913012238,-0.014752948498371943,-0.01699390716835712,0.006420915867133319
2022-04-22,-2,-0.0218315701772811,-0.027740054250753654,-0.03235348301908346,0.010521912841802358
2022-04-25,-1,-0.033713088332940955,0.005697936985382235,0.007192923430495487,-0.040906011763436445
2022-04-26,0,0.0003646824521983394,-0.028146308431003852,-0.03283395126314032,0.03319863371533866
2022-04-27,1,0.028557521545459874,0.0020980468517017847,0.0029354093533188914,0.025622112192140983
2022-04-28,2,0.030245718065385896,0.02474690007293945,0.02972173000214939,0.0005239880632365058
2022-04-29,3,-0.022362351106498424,-0.036284507106413955,-0.04245882706122323,0.02009647595472481
2022-05-02,4,0.013607081080461825,0.005675242812353654,0.007166083511067089,0.006440997569394736
2022-05-03,5,0.020599452654315842,0.004837126381486367,0.006174860898647434,0.014424591755668407
2022-05-04,6,0.039800367498209255,0.02986242108440229,0.035771748727617805,0.0040286187705914495
2022-05-05,7,-0.01515811816692847,-0.035649708609806985,-0.041708064278162524,0.026549946111234055
2022-05-06,8,0.0152807542920943,-0.0056742248424840325,-0.006256692327797202,0.0215374466198915
2022-05-09,9,-0.0788526901998271,-0.03203710063235676,-0.037435509075598644,-0.04141718112422846
2022-05-10,10,0.0066303287315179205,0.0024578974498534745,0.003360997060281737,0.0032693316712361833
