Date,Day,Stock Return,Market Return,Expected Return,Abnormal Return
2022-09-06,-10,-0.010973981041106362,-0.004095056983834944,-0.005200369251149623,-0.0057736117899567395
2022-09-07,-9,0.019111535391473256,0.018341016392734,0.023542294051211086,-0.00443075865973783
2022-09-08,-8,0.0016660571191542406,0.006610721877456038,0.008514713242785178,-0.006848656123630937
2022-09-09,-7,0.02297695611108863,0.015271449816332883,0.019609898345917236,0.0033670577651713947
2022-09-12,-6,0.008281034985128333,0.0105842727693497,0.01360519558715877,-0.005324160602030437
2022-09-13,-5,-0.054978393920426805,-0.0432366134006168,-0.05534428518221633,0.0003658912617895277
2022-09-14,-4,0.0009127176575474127,0.0033870120853238816,0.004384845971244473,-0.00347212831369706
2022-09-15,-3,-0.027119167016042223,-0.011317739184353415,-0.014453286156220085,-0.012665880859822138
2022-09-16,-2,-0.0026081969879904188,-0.007182134089448455,-0.009155197546895043,0.006547000558904625
2022-09-19,-1,-0.0008989180998824065,0.006857100716286535,0.008830347083452109,-0.009729265183334515
2022-09-20,0,-0.008465594994478298,-0.011272103097361819,-0.014394822152255534,0.005929227157777236
2022-09-21,1,-0.014435966360301422,-0.017116493600784488,-0.02188202125469853,0.007446054894397109
2022-09-22,2,0.008495496150755733,-0.00842758097968943,-0.01075072899423616,0.019246225144991892
2022-09-23,3,-0.012698139317976809,-0.017232619015461026,-0.022030788538477362,0.009332649220500554
2022-09-26,4,-0.0019754590800281635,-0.010340526208282075,-0.013201386901190472,0.011225927821162308
2022-09-27,5,-0.004379841227622805,-0.0021203598092424114,-0.002670601449948219,-0.0017092397776745857
2022-09-28,6,0.019711533310450502,0.019672139926234733,0.025247585119532207,-0.005536051809081705
2022-09-29,7,-0.014809006577982897,-0.021126437880238824,-0.027019126859191302,0.012210120281208405
2022-09-30,8,-0.01936844675164473,-0.015066695771983274,-0.01925604264238606,-0.00011240410925867153
2022-10-03,9,0.03366256677603996,0.025883894952576147,0.03320541179634002,0.0004571549796999405
2022-10-04,10,0.033812408423657514,0.030583700679551518,0.039226293049921375,-0.005413884626263861
