Date,Day,Stock Return,Market Return,Expected Return,Abnormal Return
2023-01-27,-10,-0.003907890724699881,0.002494840970949097,0.0012309690594831998,-0.00513885978418308
2023-01-30,-9,-0.037032609438027886,-0.012968740984683369,-0.003662300103071911,-0.03337030933495597
2023-01-31,-8,0.008765420795958656,0.014642470285510134,0.00507494389620859,0.003690476899750066
2023-02-01,-7,0.009178803186922657,0.010452303944590291,0.0037490148972982693,0.005429788289624388
2023-02-02,-6,0.003759368930821738,0.014699373244309921,0.005092950170198151,-0.0013335812393764131
2023-02-03,-5,-0.005617933511533835,-0.010354610691310495,-0.002835089228633897,-0.002782844282899938
2023-02-06,-4,-0.007593706308032133,-0.006140463017754394,-0.0015015716182490378,-0.006092134689783095
2023-02-07,-3,0.0002448168828561581,0.01287251059802652,0.004514860910094587,-0.004270044027238429
2023-02-08,-2,0.0012852308550281855,-0.011080724476164705,-0.003064859420438591,0.004350090275466777
2023-02-09,-1,-0.013507772786643168,-0.00882979617773516,-0.0023525795578925113,-0.011155193228750658
2023-02-10,0,0.004646840324424195,0.0021952617756952897,0.0011361707364242538,0.0035106695879999414
2023-02-13,1,0.003700315301267798,0.011448609342766147,0.0040642840564988235,-0.0003639687552310254
2023-02-14,2,-0.004362560453869069,-0.0002804145319874607,0.00035277200205534955,-0.004715332455924418
2023-02-15,3,-0.016477402367146454,0.002773175690496066,0.0013190448173467603,-0.017796447184493216
2023-02-16,4,-0.0070903536339606,-0.013788741489130674,-0.003921779646246584,-0.0031685739877140157
2023-02-17,5,0.013586917478824567,-0.002767405825327751,-0.0004342072268297447,0.014021124705654312
2023-02-21,6,-0.0149011746289881,-0.020041234255327334,-0.005900307656749676,-0.009000866972238425
2023-02-22,7,-0.0013924127892602778,-0.0015735561458868341,-5.6427496499753915e-05,-0.0013359852927605238
2023-02-23,8,-0.00031691628941987737,0.005329429416074394,0.0021279413306467053,-0.0024448576200665826
2023-02-24,9,-0.011158273977741828,-0.010537551485558128,-0.0028929786975573127,-0.008265295280184515
2023-02-27,10,-0.0021798828956186567,0.0030730045671669703,0.0014139221491620375,-0.003593805044780694
