Date,Day,Stock Return,Market Return,Expected Return,Abnormal Return
2022-10-04,-10,0.002294744040890917,0.030583700679551518,0.012433326704256325,-0.010138582663365408
2022-10-05,-9,-0.00951034012749874,-0.002017948757084831,0.0007175367768114799,-0.010227876904310219
2022-10-06,-8,-0.021514986896474575,-0.010245080846639998,-0.002238980851350385,-0.01927600604512419
2022-10-07,-7,-0.009449399769191014,-0.028003617786773516,-0.0086207220148993,-0.000828677754291714
2022-10-10,-6,-0.002201411403040976,-0.00749246363390188,-0.0012497951637431683,-0.0009516162392978077
2022-10-11,-5,0.0016547187644393446,-0.006519175777754405,-0.0009000326131176483,0.0025547513775569927
2022-10-12,-4,0.012114534745919725,-0.0032907731480149582,0.0002601322148843869,0.011854402531035337
2022-10-13,-3,0.013239019773608751,0.02596564246086497,0.010773772635742179,0.0024652471378665726
2022-10-14,-2,-0.01592982650193897,-0.02366266361565439,-0.007060748576980375,-0.008869077924958595
2022-10-17,-1,0.012913770287088289,0.026480052302171098,0.010958631921744448,0.0019551383653438406
2022-10-18,0,0.013467409202633673,0.011427569666488724,0.005549343511692733,0.00791806569094094
2022-10-19,1,-0.008504598758249826,-0.0066720972934503076,-0.0009549867759970985,-0.007549611982252727
2022-10-20,2,-0.01572546940341435,-0.007950909706564868,-0.0014145432048145478,-0.014310926198599801
2022-10-21,3,0.015976710678353934,0.02372481982226482,0.009968506406819419,0.006008204271534515
2022-10-24,4,0.028770561770761205,0.011881976654619875,0.005712640059766307,0.023057921710994897
2022-10-25,5,0.023970836814843688,0.016266654579669915,0.0072883261479574045,0.016682510666886283
2022-10-26,6,0.007463929109660095,-0.007387716072364547,-0.0012121528834417178,0.008676081993101813
2022-10-27,7,0.0023572889558378662,-0.006082610618211248,-0.000743147738050518,0.003100436693888384
2022-10-28,8,0.020661843901533805,0.024626377895927698,0.010292492008190756,0.01036935189334305
2022-10-31,9,-0.01497695642775565,-0.00745440410765752,-0.001236118020962904,-0.013740838406792745
2022-11-01,10,-0.003508756722248818,-0.004101230608784645,-3.111529926248238e-05,-0.0034776414229863357
